OTU 1	OTU 2	corr	pval
GQ44805211379	DQ45638611446	0.28754267163	0.0
GQ44805211379	GQ44918111364	0.366836003348	0.0
EU45549311432	GQ44825611427	0.528404874298	0.0
EU45549311432	EF09737311429	0.33889373133	0.0
DQ05738311395	KC56110911508	-0.257740489052	0.0
DQ05738311395	DQ45615511438	0.289376707195	0.0
DQ05738311395	GQ17539111436	0.322399092961	0.0
GQ26787611424	GQ07075411388	0.30100107271	0.0
GQ26787611424	DQ05742911489	0.297748383458	0.0
GQ26787611424	KC56110911508	0.300248796942	0.0
GQ26787611424	JQ47333711437	0.469539973727	0.0
GQ07075411388	DQ05742911489	0.424741313578	0.0
GQ07075411388	GQ23143611471	0.391427657623	0.0
GQ07075411388	EU76701811359	0.450779328858	0.0
GQ07075411388	DQ45582411440	0.405505514138	0.0
GQ07075411388	DQ45615511438	0.41161513496	0.0
GQ07075411388	GQ17539111436	0.49453446466	0.0
GQ07075411388	DQ05741311447	0.352372179536	0.0
DQ45625811441	DQ45615511438	0.365322289447	0.0
DQ45625811441	GQ17539111436	0.360723842106	0.0
KC56110911508	EU76701811359	-0.424090608471	0.0
KC56110911508	GQ44825611427	0.252986902398	0.0
KC56110911508	DQ45582411440	-0.414194061216	0.0
KC56110911508	DQ45615511438	-0.518185721089	0.0
KC56110911508	GQ17539111436	-0.561073020436	0.0
KC56110911508	DQ05741311447	-0.370683417217	0.0
FJ36750911357	DQ80650611388	0.31717855643	0.0
GQ23143611471	EU76701811359	0.419963278101	0.0
GQ23143611471	JQ47333711437	0.274801217613	0.0
GQ23143611471	DQ45582411440	0.261773397059	0.0
GQ23143611471	GQ17539111436	0.25919976857	0.0
EU76701811359	DQ45582411440	0.408467361216	0.0
EU76701811359	DQ45615511438	0.390416749479	0.0
EU76701811359	GQ17539111436	0.463065941341	0.0
EU76701811359	DQ05741311447	0.350637157498	0.0
GQ44825611427	EF09737311429	0.498034336911	0.0
DQ45632211465	DQ45615511438	0.253593966124	0.0
DQ45582411440	DQ45615511438	0.519591205186	0.0
DQ45582411440	GQ17539111436	0.584828168997	0.0
DQ45582411440	DQ05741311447	0.420386926126	0.0
DQ45615511438	GQ17539111436	0.736487300142	0.0
DQ45615511438	DQ05741311447	0.469762417097	0.0
GQ17539111436	DQ05741311447	0.526895158811	0.0
GQ17539111436	DQ80650611388	0.260578868477	0.0
